,Location_ID,Parent_ID,Name,Country_ID,Type,Snippet,Snippet_Language,Temp_Avg_Min_Jan,Temp_Avg_Max_Jan,Temp_Avg_Min_Feb,Temp_Avg_Max_Feb,Temp_Avg_Min_Mar,Temp_Avg_Max_Mar,Temp_Avg_Min_Apr,Temp_Avg_Max_Apr,Temp_Avg_Min_May,Temp_Avg_Max_May,Temp_Avg_Min_Jun,Temp_Avg_Max_Jun,Temp_Avg_Min_Jul,Temp_Avg_Max_Jul,Temp_Avg_Min_Aug,Temp_Avg_Max_Aug,Temp_Avg_Min_Sep,Temp_Avg_Max_Sep,Temp_Avg_Min_Oct,Temp_Avg_Max_Oct,Temp_Avg_Min_Nov,Temp_Avg_Max_Nov,Temp_Avg_Min_Dec,Temp_Avg_Max_Dec,Similarity_Score
215,Belfast,wv__Northern_Ireland,Belfast,United_Kingdom,city,"Known for places to eat and drink. Recommended places to visit are Ulster Museum, City Hall and Botanic Gardens.",,2.0,7.666666667,1.9,8.066666667,3.2,9.966666667,4.466666667,12.2,6.8,15.13333333,9.666666667000001,17.6,11.6,19.33333333,11.4,18.93333333,9.5,16.73333333,6.933333332999999,13.3,4.166666667,10.03333333,2.333333333,8.0,0.19314207
245,Delft,wv__Western_Netherlands,Delft,Netherlands,city,"Known for coffee. Recommended places to visit are Oude Kerk, City Hall and Nieuwe Kerk.",,,,,,,,,,,,,,,,,,,,,,,,,,0.19314206
167,Brampton,wv__Ontario,Brampton,Canada,city,"Known for dinner. Recommended places to visit are Brampton City Hall, Rose Theatre Brampton and Peel Art Gallery.",,-9.4,-1.5,-8.7,-0.4,-4.5,4.6,1.9,12.2,7.4,18.8,13.0,24.2,15.8,27.1,15.1,26.0,10.8,21.6,4.6,14.3,-0.2,7.6,-5.8,1.4,0.19314206
76,Accra,wv__Ghanaian_Coastal_Plain,Accra,Ghana,city,"Known for shopping. Recommended places to visit are Makola Market, Kwame Nkrumah Memorial Park and Osu Castle.",,23.4,32.1,24.1,32.7,24.1,32.5,24.2,32.2,23.9,31.2,23.1,29.3,22.5,28.5,22.2,28.0,22.4,29.0,23.9,30.5,23.5,31.6,23.4,31.7,0.19171017
321,Orenburg,wv__Urals,Orenburg,Russia,city,"Known for shopping. Recommended places to visit are Orenburg Caravanserai, Orenburg State University and House of the Soviets.",,-15.6,-8.0,-15.7,-7.2,-9.3,-0.8,1.7,12.8,8.5,22.1,13.8,27.5,15.6,29.0,13.6,27.4,7.9,20.9,1.6,11.2,-6.1,0.3,-13.1,-5.9,0.19139957
36,Helsinki,wv__Southern_Finland,Helsinki,Finland,city,The capital city has its frills. Check the dedicated article.,,-7.3,-1.85,-8.15,-2.3,-4.75,1.55,0.3,8.15,5.55,15.1,10.2,19.05,13.4,22.0,12.2,20.15,7.8,14.7,3.5,8.8,-1.35,3.15,-5.25,-0.1,0.19074643
155,wv__Hong_Kong,China,Hong Kong,China,city,This former British colony markets itself as Asia's World City.,,,,,,,,,,,,,,,,,,,,,,,,,,0.19074643
66,Christchurch,wv__South_Island,Christchurch,New_Zealand,city,"Known as the Garden City, and still rebuilding after a devastating earthquake.",,11.8,22.4,11.6,21.9,9.9,20.0,6.8,17.3,3.8,14.2,1.1,11.4,0.7,10.7,2.0,12.2,4.0,14.6,6.1,16.9,8.1,19.0,10.6,20.9,0.19074643
4,Paris,wv__C38Ele-de-France,Paris,France,city,"The ""City of Light"" and one of the most visited places on Earth: romance, cuisine, the Eiffel Tower and a surprising amount of green await you.",,2.0,6.85,2.15,7.95,4.2,11.4,6.15,14.9,9.6,18.75,12.5,22.05,14.15,24.4,14.2,24.2,11.85,21.0,8.65,16.35,4.75,10.4,2.65,7.25,0.19074643
9,Melbourne,wv__Victoria_28state29,Melbourne,Australia,city,"Multicultural and sports-mad, this vibrant city includes many cultural institutions.",,16.1,27.0,16.4,26.9,14.6,24.6,11.8,21.1,9.8,17.6,8.2,15.1,7.5,14.5,7.9,15.9,9.4,18.1,10.9,20.5,12.8,22.9,14.3,24.8,0.19074643
131,New_York_City,New_York_28state29,New York City,United_States,city,"possibly the most well known and celebrated city in the world, New York is a city of towering skyscrapers, ethnic diversity, international corporations, and incomparable culture.",,-2.833333333,3.5,-1.7222222219999999,5.333333333,1.7777777780000001,9.833333332999999,7.1111111110000005,16.22222222,12.22222222,21.55555556,17.55555556,26.27777778,20.44444444,28.94444444,19.88888889,28.11111111,16.0,24.0,10.0,17.66666667,5.333333333,12.11111111,0.0,6.1111111110000005,0.19074643
164,wv__Macau,China,Macau,China,city,A former Portuguese colony with liberal gambling laws and beautiful colonial architecture in its UNESCO listed historical city centre.,,,,,,,,,,,,,,,,,,,,,,,,,,0.19074643
24,Istanbul,wv__Marmara_28region29,Istanbul,Turkey,city,"The heart of both the Ottoman and Byzantine Empire, this bi-continental city is a bridge between east and west and Europe's largest.",,2.6,8.23,2.53,8.77,3.67,10.57,7.17,15.5,11.57,20.07,15.73,24.5,18.5,26.3,19.13,26.5,15.87,23.57,12.17,19.1,8.23,14.77,5.0,10.7,0.19074641
68,San_Francisco,California,San Francisco,United_States,city,"The de facto center and the iconic city of the region, home to such landmarks as the Golden Gate Bridge, the hilly streets with their famous cable cars and Victorian houses, the infamous island prison of Alcatraz, and enough museums and intriguing neighborhoods to keep a traveler exploring for days.",,7.61,13.83,8.61,15.67,9.17,16.56,9.56,17.28,10.56,17.94,11.56,19.11,12.28,19.17,12.83,20.06,12.83,21.22,12.06,20.67,10.06,17.28,7.83,13.94,0.19041216
284,Kamloops,wv__British_Columbia,Kamloops,Canada,city,"Known for dinner. Recommended places to visit are Riverside Park, BC Wildlife Park and Sacred Heart Cathedral.",,-5.9,0.4,-4.0,4.3,-0.6,11.0,3.2,16.6,7.7,21.5,11.6,25.1,14.2,28.9,13.4,28.3,8.8,22.3,3.3,13.7,-1.4,5.6,-5.8,0.3,0.19014706
170,Vancouver,wv__British_Columbia,Vancouver,Canada,city,"A beautiful, vibrant city with diverse neighbourhoods, a very multi-cultural and cosmopolitan city — and the political core of the Lower Mainland and economic core of the province.",,1.4,6.9,1.6,8.2,3.4,10.3,5.6,13.2,8.8,16.7,11.7,19.6,13.7,22.2,13.8,22.2,10.8,18.9,7.0,13.5,3.5,9.2,0.8,6.3,0.18711087
7,Toronto,wv__Ontario,Toronto,Canada,city,"Canada's largest city, a cosmopolitan mosaic with ethnic enclaves and cultural attractions galore.",,-6.7,-0.7,-5.6,0.4,-1.9,4.7,4.1,11.5,9.9,18.4,14.9,23.8,18.0,26.6,17.4,25.5,13.4,21.0,7.4,14.0,2.3,7.5,-3.1,2.1,0.18689322
259,Feltham,wv__South_East_England,Feltham,United_Kingdom,city,"Recommended places to visit are St George's Church, Bedfont Lakes Country Park and Kempton Park Steam Engines.",,,,,,,,,,,,,,,,,,,,,,,,,,0.18670209
121,Manama,Bahrain,Manama,Bahrain,city,"Known for shopping. Recommended places to visit are Bahrain Fort, Al Fateh Grand Mosque and Bahrain National Museum.",,14.1,20.0,14.9,21.2,17.8,24.7,21.5,29.2,26.0,34.1,28.8,36.4,30.4,37.9,30.5,38.0,28.6,36.5,25.5,33.1,21.2,27.8,16.2,22.3,0.18508886
64,Vaughan,wv__Ontario,Vaughan,Canada,city,"Known for shopping. Recommended places to visit are McMichael Canadian Art Collection, Reptilia and Baitul Islam Mosque.",,-10.7,-2.5,-9.2,-0.5,-5.2,4.3,1.2,12.0,6.8,18.8,12.0,24.1,14.7,26.9,13.8,25.4,9.8,20.9,4.0,13.9,-0.8,6.9,-6.4,0.8,0.18508884
75,Aachen,wv__North_Rhine-Westphalia,Aachen,Germany,city,"Known for shopping. Recommended places to visit are Aachen Cathedral, Aachen Town Hall and Ponttor.",,0.7,5.4,0.6,6.2,3.2,10.1,5.5,14.1,9.2,18.2,11.8,20.8,14.1,23.3,13.9,23.0,11.2,19.2,7.9,14.8,4.3,9.3,1.5,5.9,0.18413742
150,Ternopil,wv__Western_Ukraine,Ternopil,Ukraine,city,"Known for shopping. Recommended places to visit are Ternopil Castle, Church of the Exaltation of the Cross and Ternopil Pond.",,-7.3,-1.9,-6.4,-0.4,-2.8,4.7,3.1,12.7,8.2,18.8,11.3,21.4,13.0,23.2,12.3,23.0,8.1,18.1,3.4,12.1,-0.8,4.8,-5.4,-0.4,0.18383253
283,Jersey_City2C_New_Jersey,New_Jersey,Jersey City,United_States,city,"Known for places to eat and drink. Recommended places to visit are Statue of Liberty, Liberty Science Center and Liberty State Park.",,,,,,,,,,,,,,,,,,,,,,,,,,0.18216635
152,Venice,wv__Veneto,Venice,Italy,city,"Known for coffee. Recommended places to visit are Doge's Palace, Piazza San Marco and San Giorgio Maggiore.",,-0.1,6.6,0.8,8.6,4.1,12.5,7.8,16.1,12.7,21.5,16.1,24.9,18.3,27.7,17.7,27.5,14.3,23.5,9.6,18.0,4.0,11.6,0.6,7.4,0.18098582
106,Indonesia,,Indonesia,Indonesia,country,"The world's largest archipelago nation with over 16,000 islands and the largest Muslim-majority country in the world, but also nominally secular and deeply influenced by Hindu and Buddhist culture.",,,,,,,,,,,,,,,,,,,,,,,,,,0.18048036
140,Rome,wv__Lazio,Rome,Italy,city,"An empire was named after this eternal city of seven hills and today it is chock full of old and new, and even contains its own state, the Vatican.",,3.1,11.9,3.5,13.0,5.2,15.2,7.5,17.7,11.6,22.8,15.3,26.9,18.0,30.3,18.3,30.6,15.2,26.5,11.3,21.4,6.9,15.9,4.2,12.6,0.17835557
228,Cabramatta2C_New_South_Wales,wv__New_South_Wales,Cabramatta,Australia,city,"Recommended places to visit are Chipping Norton Lake, Asian Grocery Stores and Bolivia Park.",,,,,,,,,,,,,,,,,,,,,,,,,,0.1758948
369,Tel_Aviv,Israel,Tel Aviv,Israel,city,"Known for shopping. Recommended places to visit are Ramat Gan Safari, Yarkon Park and Tel Aviv Port.",,10.35,17.9,10.85,18.3,12.55,19.95,15.2,22.7,18.1,24.65,21.5,27.3,23.85,29.2,24.55,30.05,23.3,29.2,19.9,27.1,15.55,23.65,12.0,19.75,0.17465425
193,Edmonton,wv__Prairies,Edmonton,Canada,city,"Known for shopping. Recommended places to visit are Telus World of Science, Art Gallery of Alberta and Fort Edmonton Park.",,-16.25,-6.15,-14.2,-3.25,-8.6,1.7,-1.5,11.0,4.2,17.45,8.75,20.8,10.9,22.95,9.7,22.4,4.4,17.25,-1.55,10.4,-9.4,-0.05,-14.8,-5.0,0.17465425
204,Ajman,United_Arab_Emirates,Ajman,United_Arab_Emirates,city,"Known for shopping. Recommended places to visit are Ajman Museum, Al Rashidiyah Park for Ladies and Ajman Fish Market.",,,,,,,,,,,,,,,,,,,,,,,,,,0.17465425
271,Hanoi,wv__Northern_Vietnam,Hanoi,Vietnam,city,"Known for natural attractions. Recommended places to visit are Vietnam Museum of Ethnology, Presidential Palace and Turtle Tower.",,14.35,19.8,15.4,20.15,18.15,23.0,21.65,27.2,24.3,31.25,25.95,32.95,26.25,33.15,25.9,32.25,24.65,31.05,22.0,28.75,18.65,25.3,15.4,22.1,0.17160143
62,Jeddah,wv__Hejaz,Jeddah,Saudi_Arabia,city,"Known for diving. Recommended places to visit are King Saud Mosque, Tomb of Eve and King Fahd's Fountain.",,20.3,29.0,20.1,29.5,21.4,31.8,22.1,34.9,24.0,37.2,24.8,38.3,26.6,39.4,27.6,38.8,26.4,37.6,24.1,36.7,22.3,33.5,21.0,30.7,0.16998655
333,Port_Louis,Mauritius,Port Louis,Mauritius,city,"Known for natural attractions. Recommended places to visit are Blue Penny Museum, Jummah Mosque and St. Louis Cathedral.",,24.1,31.5,24.0,31.4,23.8,31.5,23.0,30.7,21.5,29.3,19.9,27.6,19.3,26.7,19.1,26.8,19.4,27.7,20.4,28.8,21.8,30.2,23.2,31.1,0.16941814
196,Winnipeg,wv__Prairies,Winnipeg,Canada,city,"The capital city of the province, also known as ""Gateway to the West"" and ""Winterpeg"".",,-21.4,-11.3,-18.3,-8.1,-10.7,-0.8,-2.0,10.9,4.5,18.6,10.7,23.2,13.5,25.9,12.1,25.4,6.4,19.0,-0.5,10.5,-9.2,-0.5,-17.8,-8.5,0.16716868
176,Philadelphia,Pennsylvania,Philadelphia,United_States,city,Pennsylvania's largest city is the birthplace of American democracy and home of the cheesesteak.,,-3.56,4.61,-2.39,6.56,1.33,11.5,6.72,17.72,12.22,23.22,17.67,28.17,20.67,30.61,19.94,29.61,15.72,25.56,9.11,19.22,4.0,13.33,-1.06,7.11,0.16527703
238,Cologne,wv__North_Rhine-Westphalia,Cologne,Germany,city,"Known for shopping. Recommended places to visit are Cologne Cathedral, Chocolate Museum and Hohenzollern Bridge.",,-0.6,5.4,-0.7,6.7,2.0,10.9,4.2,15.1,8.1,19.3,11.0,21.9,13.2,24.4,12.6,24.0,9.8,19.9,6.7,15.1,3.1,9.5,0.4,5.9,0.16501275
299,Lyon,wv__Auvergne-RhC3B4ne-Alpes,Lyon,France,city,"Known for shopping. Recommended places to visit are Esplanade de Fourvière, St Jean Cathedral and Musée des Beaux-Arts de Lyon.",,0.25,6.25,1.25,8.3,3.35,12.3,5.85,15.75,9.9,19.95,13.3,23.75,15.7,26.9,15.2,26.6,12.1,22.55,8.8,17.25,3.9,10.4,1.15,6.75,0.16501275
292,Limerick,wv__Shannon_Region,Limerick,Republic_of_Ireland,city,"Known for shopping. Recommended places to visit are King John's Castle, St Mary's Cathedral and Hunt Museum.",,3.2,8.8,3.2,9.2,4.5,11.1,5.7,13.3,8.2,16.0,11.0,18.5,13.0,19.8,12.7,19.6,10.8,17.7,8.2,14.3,5.5,11.1,3.6,9.0,0.1648497
59,Osaka,wv__Kansai,Osaka,Japan,city,"Known for shopping. Recommended places to visit are Osaka Castle, Osaka Aquarium Kaiyukan and Osaka Castle Park.",,2.8,9.5,2.9,10.2,5.6,13.7,10.7,19.9,15.6,24.5,20.0,27.8,24.3,31.6,25.4,33.4,21.7,29.3,15.5,23.3,9.9,17.6,5.1,12.3,0.16443782
273,Heidelberg,wv__Baden-WC3BCrttemberg,Heidelberg,Germany,city,"Known for natural attractions. Recommended places to visit are Heidelberg Castle, Zoo Heidelberg and Church of the Holy Spirit.",,0.4,5.1,-0.3,6.6,2.2,12.6,5.5,17.7,9.4,20.7,13.4,25.1,15.3,27.3,14.6,26.5,10.9,21.9,7.2,16.0,3.9,9.5,1.8,6.3,0.16389275
366,Swindon,wv__West_Country,Swindon,United_Kingdom,city,"Known for lunch. Recommended places to visit are Steam Museum, Coate Water Country Park and Lydiard Park.",,1.2,6.6,1.0,6.9,2.6,9.4,3.7,12.0,6.7,15.7,9.7,18.5,11.9,21.2,11.8,20.7,9.8,17.7,6.8,13.6,3.7,9.6,2.1,7.4,0.16341406
274,Helsingborg,wv__GC3B6taland,Helsingborg,Sweden,city,"Known for beaches. Recommended places to visit are Sofiero Palace, Kärnan and Helsingborg City Theatre.",,3.6,6.8,3.0,6.3,4.4,8.6,5.1,13.5,11.3,17.4,14.1,21.3,15.7,23.7,14.4,22.6,11.3,20.1,5.9,13.5,4.8,8.7,4.0,7.5,0.16278665
129,Nantes,wv__Pays_de_la_Loire,Nantes,France,city,"Known for places to eat and drink. Recommended places to visit are Nantes Cathedral, Château des ducs de Bretagne and Tomb of Francis II.",,3.0,9.1,3.05,9.85,4.5,12.7,6.1,15.15,9.35,18.55,12.2,22.15,14.0,24.45,13.75,24.4,12.0,21.95,9.25,17.25,5.4,12.25,3.4,9.4,0.16249713
180,Puteaux,wv__C38Ele-de-France,Puteaux,France,city,"Known for shopping. Recommended places to visit are Grande Arche, La Défense de Paris and Fonds national d'art contemporain.",,,,,,,,,,,,,,,,,,,,,,,,,,0.16212781
349,San_Antonio,Texas,San Antonio,United_States,city,"Known for museums. Recommended places to visit are Alamo Mission in San Antonio, Witte Museum and Institute of Texan Cultures.",,4.833333333,17.16666667,6.777777778,19.38888889,10.44444444,23.05555556,14.5,26.94444444,19.33333333,30.55555556,22.55555556,33.5,23.66666667,34.77777778,23.72222222,35.55555556,20.61111111,32.38888889,15.61111111,27.88888889,10.05555556,22.33333333,5.3888888889999995,17.77777778,0.16126426
101,Guangzhou,wv__Guangdong,Guangzhou,China,city,"Known for museums. Recommended places to visit are Guangdong Museum, ??? and Sacred Heart Cathedral.",,10.3,18.3,11.7,18.5,15.2,21.6,19.5,25.7,22.7,29.3,24.8,31.5,25.5,32.8,25.4,32.7,24.0,31.5,20.8,28.8,15.9,24.5,11.5,20.6,0.16007829
